"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","Reinfections",11,709,1.55148095909732,"First infection",234,2126,11.0065851364064,"CPRD",0.140959338420551,0.0774624861100461,0.256505259329427
"Allergy","Reinfections",6,709,0.846262341325811,"First infection",77,2126,3.62182502351834,"CPRD",0.233656329566062,0.102254967571814,0.533913233192718
"Anxiety","Reinfections",10,709,1.41043723554302,"First infection",254,2126,11.9473189087488,"CPRD",0.118054707195451,0.0631184679444946,0.220805642862872
"Chest pain","Reinfections",5,709,0.705218617771509,"First infection",105,2126,4.93885230479774,"CPRD",0.14278997917926,0.0584552315400617,0.348796465548855
"Cough","Reinfections",18,709,2.53878702397743,"First infection",200,2126,9.40733772342427,"CPRD",0.269873060648801,0.167870381173198,0.433855385059314
"Depression","Reinfections",11,709,1.55148095909732,"First infection",207,2126,9.73659454374412,"CPRD",0.159345339084102,0.0874100628638309,0.290480709610995
"Dyspnea","Reinfections",18,709,2.53878702397743,"First infection",192,2126,9.0310442144873,"CPRD",0.281117771509168,0.174717787702899,0.452313427827186
"Fatigue malaise","Reinfections",7,709,0.987306064880113,"First infection",195,2126,9.17215428033866,"CPRD",0.107641676612057,0.0508885850474791,0.227688204202265
"Gastrointestinal issues","Reinfections",17,709,2.39774330042313,"First infection",135,2126,6.34995296331138,"CPRD",0.377600167162932,0.229670433942524,0.62081080178198
"Headache","Reinfections",15,709,2.11565585331453,"First infection",163,2126,7.66698024459078,"CPRD",0.275943824794275,0.163733479498026,0.465054518327828
"Intermittent fever","Reinfections",5,709,0.705218617771509,"First infection",29,2126,1.36406396989652,"CPRD",0.516998200476631,0.200892873207094,1.33049587588175
"Joint pain","Reinfections",24,709,3.38504936530324,"First infection",291,2126,13.6876763875823,"CPRD",0.247306355691914,0.164539709152147,0.371706221438992
"Sleep disorder","Reinfections",5,709,0.705218617771509,"First infection",77,2126,3.62182502351834,"CPRD",0.194713607971718,0.0791226321008129,0.479172496196248
"Tinnitus and hearing problems","Reinfections",6,709,0.846262341325811,"First infection",51,2126,2.39887111947319,"CPRD",0.352775242678171,0.152048763870374,0.818489862586059
