"","New infections","Tested negative, all","SMD"
"N","303,652","835,029",""
"Days of follow-up (median [iqr])","151 [130.00, 188.00]","151 [130.00, 188.00]","0.001"
"Age (median [iqr])","41 [29.00, 54.00]","41 [29.00, 54.00]","0.001"
"Age, categories (%)","","","<0.001"
"   <=34","112,720 (37.1)","309,974.8 (37.1)",""
"   35-49","90,022 (29.6)","247,556.3 (29.6)",""
"   50-64","73,732 (24.3)","202,759.6 (24.3)",""
"   65-79","20,965 (6.9)","57,652.8 (6.9)",""
"   >=80","6,213 (2.0)","17,085.5 (2.0)",""
"Sex, female (%)","166,338 (54.8)","484,719.2 (58.0)","0.066"
"Trimester = jan-apr 2021 (%)","59,733 (19.7)","164,263 (19.7)","<0.001"
"Vaccination status (%)","","","0.017"
"   Non vaccinated","302,221 (99.5)","831,989.4 (99.6)",""
"   First dose vaccination","1,375 (0.5)","2,896.6 (0.3)",""
"   Two doses vaccination","56 (0.0)","137.5 (0.0)",""
"   Booster doses","<5","5.5 (0.0)",""
"PCR test (%)","283,986 (93.5)","780,948.4 (93.5)","<0.001"
"Asthma (%)","48,255 (15.9)","145,604.6 (17.4)","0.041"
"Autoimmune disease (%)","6,120 (2.0)","18,419.6 (2.2)","0.013"
"COPD (%)","3,866 (1.3)","13,669.6 (1.6)","0.030"
"Dementia (%)","2,854 (0.9)","8,706.8 (1.0)","0.010"
"Diabetes (%)","21,120 (7.0)","49,730.6 (6.0)","0.041"
"Heart disease (%)","18,970 (6.2)","52,931.1 (6.3)","0.004"
"Cancer (%)","11,940 (3.9)","35,491.8 (4.3)","0.016"
"Hypertension (%)","39,096 (12.9)","101,819.8 (12.2)","0.021"
"Renal impairment (%)","10,067 (3.3)","26,499 (3.2)","0.008"
"Long Covid symptoms (%)","39,901 (13.1)","121,696.9 (14.6)","0.042"
"Abdominal pain (%)","4,664 (1.5)","14,880.9 (1.8)","0.019"
"Allergy (%)","1,437 (0.5)","4,432.9 (0.5)","0.008"
"Altered smell or taste (%)","336 (0.1)","175.1 (0.0)","0.035"
"Anxiety (%)","5,576 (1.8)","19,895.5 (2.4)","0.038"
"Blurred vision (%)","205 (0.1)","637.5 (0.1)","0.003"
"Chest pain (%)","2,034 (0.7)","5,157.1 (0.6)","0.007"
"Cognitive dysfunction (%)","123 (0.0)","386.4 (0.0)","0.003"
"Cough (%)","3,504 (1.2)","11,711.6 (1.4)","0.022"
"Depression (%)","4,277 (1.4)","16,602.8 (2.0)","0.045"
"Dizziness (%)","1,445 (0.5)","4,523.2 (0.5)","0.009"
"Dyspnea (%)","3,771 (1.2)","8,734.8 (1.0)","0.018"
"Fatigue or malaise (%)","3,440 (1.1)","7,581.6 (0.9)","0.022"
"Gastrointestinal issues (%)","2,683 (0.9)","8,434.1 (1.0)","0.013"
"Headache (%)","3,669 (1.2)","11,955.9 (1.4)","0.020"
"Intermittent fever (%)","422 (0.1)","1,270.5 (0.2)","0.003"
"Joint pain (%)","6,191 (2.0)","19,091.6 (2.3)","0.017"
"Memory issues (%)","192 (0.1)","481.2 (0.1)","0.002"
"Menstrual problems (%)","1,161 (0.4)","3,615.7 (0.4)","0.008"
"Muscle spasms or pain (%)","96 (0.0)","317.2 (0.0)","0.003"
"Neuralgia (%)","849 (0.3)","2,706.4 (0.3)","0.008"
"Pins sensation (%)","407 (0.1)","1,096.3 (0.1)","0.001"
"Postexertional fatigue = 0 (%)","303,652 (100.0)","835,029 (100.0)","<0.001"
"Sleep disorder (%)","1,472 (0.5)","4,622.7 (0.6)","0.010"
"Tachycardia (%)","1,367 (0.5)","3,610.7 (0.4)","0.003"
"Tinnitus and hearing problems (%)","1,112 (0.4)","3,211.5 (0.4)","0.003"
"Number of symptoms (%)","","","0.043"
"   0","263,751 (86.9)","713,332.1 (85.4)",""
"   1","31,420 (10.3)","94,559 (11.3)",""
"   2","6,872 (2.3)","22,097.3 (2.6)",""
"   3","1,265 (0.4)","4,036 (0.5)",""
"   4","266 (0.1)","802.1 (0.1)",""
"   5","64 (0.0)","166.8 (0.0)",""
"   6","9 (0.0)","27.5 (0.0)",""
"   7","<5","4.6 (0.0)",""
"   8","<5","0.9 (0.0)",""
"   9","<5","2.7 (0.0)",""
"Days elapsed since index date and record of symptom (median [iqr])","84 [52.00, 120.00]","86 [54.00, 122.00]","0.037"
