"cohort","n_persons","n_events","incidence_start_date","person_days","ir_100000_pys","sex","age_group","database","ir_100000_pys_95CI_lower","ir_100000_pys_95CI_upper"
"COVID-19 infection",14490,2007,2020-09-01,3146352,23282.6778440556,"Both","Overall","CPRD",22275.1010572686,24324.0836676601
"COVID-19 infection",62352,7453,2020-10-01,12054335,22567.3585477756,"Both","Overall","CPRD",22057.8866625437,23085.6286473001
"COVID-19 infection",66552,6341,2020-11-01,11336686,20415.7105524489,"Both","Overall","CPRD",19916.269776745,20924.5095892098
"COVID-19 infection",100630,5514,2020-12-01,13756942,14629.7774607177,"Both","Overall","CPRD",14246.1497723767,15021.1193382133
"COVID-19 infection",59811,2467,2021-01-01,7337316,12272.2668616153,"Both","Overall","CPRD",11792.7247932143,12766.3047252821
"COVID-19 infection",3541,522,2020-09-01,762486,24987.9997796681,"Female","<=34","CPRD",22890.0907476336,27226.4985820317
"COVID-19 infection",3137,248,2020-09-01,695030,13023.8982489964,"Male","<=34","CPRD",11453.2717625142,14749.7591531023
"COVID-19 infection",210,40,2020-09-01,43560,33516.9880624426,"Female",">=80","CPRD",23945.0276264747,45640.621673459
"COVID-19 infection",100,20,2020-09-01,20495,35618.4435228104,"Male",">=80","CPRD",21756.7119814953,55009.7971855107
"COVID-19 infection",2006,375,2020-09-01,429432,31873.4980159839,"Female","35-49","CPRD",28728.7573132657,35268.5121259343
"COVID-19 infection",1703,171,2020-09-01,377209,16546.529907823,"Male","35-49","CPRD",14159.3809192385,19220.9084108421
"COVID-19 infection",1605,295,2020-09-01,344613,31245.1938841541,"Female","50-64","CPRD",27781.0477616809,35021.8829076973
"COVID-19 infection",1399,187,2020-09-01,304779,22394.9156601997,"Male","50-64","CPRD",19300.0165610067,25844.9223741112
"COVID-19 infection",401,75,2020-09-01,86036,31818.076154168,"Female","65-79","CPRD",25026.9280349438,39884.2340509735
"COVID-19 infection",388,74,2020-09-01,82712,32655.4792533127,"Male","65-79","CPRD",25641.5832391638,40995.9640802302
"COVID-19 infection",14787,2146,2020-10-01,2840884,27572.051516359,"Female","<=34","CPRD",26417.720730477,28763.8396350061
"COVID-19 infection",12382,792,2020-10-01,2449476,11801.7077938302,"Male","<=34","CPRD",10993.9896719375,12653.0708755275
"COVID-19 infection",670,118,2020-10-01,125811,34233.8905183172,"Female",">=80","CPRD",28336.2960156191,40996.970850363
"COVID-19 infection",405,75,2020-10-01,75932,36051.9938892693,"Male",">=80","CPRD",28357.1719487755,45191.4866039293
"COVID-19 infection",8670,1331,2020-10-01,1653604,29379.1621210399,"Female","35-49","CPRD",27821.839132598,31000.9617157577
"COVID-19 infection",7160,568,2020-10-01,1396902,14841.4133561266,"Male","35-49","CPRD",13645.8148462372,16113.7058756317
"COVID-19 infection",7302,1083,2020-10-01,1394789,28340.8458196903,"Female","50-64","CPRD",26677.8674641216,30080.3411385492
"COVID-19 infection",6773,721,2020-10-01,1313284,20038.6968850607,"Male","50-64","CPRD",18602.5142833614,21556.3295499747
"COVID-19 infection",2060,332,2020-10-01,392521,30872.2335875023,"Female","65-79","CPRD",27640.3309322953,34378.2329849025
"COVID-19 infection",2143,287,2020-10-01,411132,25479.651304204,"Male","65-79","CPRD",22616.8005423162,28604.546165295
"COVID-19 infection",12904,1489,2020-11-01,2183032,24895.8787594502,"Female","<=34","CPRD",23647.2614853168,26193.3114838295
"COVID-19 infection",9809,522,2020-11-01,1695912,11234.6631193128,"Male","<=34","CPRD",10291.4383138985,12241.0974141459
"COVID-19 infection",1114,153,2020-11-01,185725,30068.6498855835,"Female",">=80","CPRD",25492.9432635799,35228.545022232
"COVID-19 infection",579,75,2020-11-01,97402,28105.1723783906,"Male",">=80","CPRD",22106.4945320879,35230.0770087838
"COVID-19 infection",11168,1289,2020-11-01,1886483,24939.7953758396,"Female","35-49","CPRD",23596.7224482291,26339.3939539146
"COVID-19 infection",8708,563,2020-11-01,1497318,13724.2055461832,"Male","35-49","CPRD",12613.8123402475,14906.1540176167
"COVID-19 infection",8878,964,2020-11-01,1506084,23362.5747302275,"Female","50-64","CPRD",21910.8711822241,24885.1832679391
"COVID-19 infection",8182,679,2020-11-01,1400780,17692.6426705121,"Male","50-64","CPRD",16386.7136633179,19074.9635771992
"COVID-19 infection",2636,313,2020-11-01,446858,25566.2872769426,"Female","65-79","CPRD",22812.0994093204,28561.3733242259
"COVID-19 infection",2574,294,2020-11-01,437092,24550.8954636552,"Male","65-79","CPRD",21824.4562551877,27523.758531429
"COVID-19 infection",19780,1307,2020-12-01,2696704,17690.2989723752,"Female","<=34","CPRD",16744.1228969655,18676.0148984716
"COVID-19 infection",15098,443,2020-12-01,2069597,7812.87371406124,"Male","<=34","CPRD",7102.1790218754,8575.42863591825
"COVID-19 infection",1328,112,2020-12-01,182479,22402.5778308737,"Female",">=80","CPRD",18446.213276396,26956.1267711938
"COVID-19 infection",600,46,2020-12-01,82255,20412.1330010334,"Male",">=80","CPRD",14944.2458235594,27226.9248963667
"COVID-19 infection",18497,1222,2020-12-01,2529503,17633.1081639358,"Female","35-49","CPRD",16658.1980649018,18650.1849556379
"COVID-19 infection",14742,585,2020-12-01,2022733,10556.26224519,"Male","35-49","CPRD",9718.05783803802,11447.4208924953
"COVID-19 infection",12784,869,2020-12-01,1743594,18191.4482385234,"Female","50-64","CPRD",17001.8973382185,19442.2804663713
"COVID-19 infection",11496,500,2020-12-01,1573166,11600.8100861575,"Male","50-64","CPRD",10606.1235447403,12663.6593372841
"COVID-19 infection",3291,241,2020-12-01,447029,19677.69428829,"Female","65-79","CPRD",17271.5543669995,22325.2596913538
"COVID-19 infection",3014,189,2020-12-01,409882,16830.4536427557,"Male","65-79","CPRD",14516.4214845339,19408.5025325414
"COVID-19 infection",11927,576,2021-01-01,1460931,14390.8233859094,"Female","<=34","CPRD",13239.4341519314,15615.5383362778
"COVID-19 infection",9368,212,2021-01-01,1152019,6716.90310663279,"Male","<=34","CPRD",5843.10751949254,7684.51051682245
"COVID-19 infection",869,56,2021-01-01,105824,19315.0892047173,"Female",">=80","CPRD",14590.4132415728,25082.25726078
"COVID-19 infection",444,23,2021-01-01,54301,15460.1204397709,"Male",">=80","CPRD",9800.39752203944,23197.7814518069
"COVID-19 infection",9501,456,2021-01-01,1165036,14286.2538153327,"Female","35-49","CPRD",13004.9300017726,15659.6831177422
"COVID-19 infection",7868,220,2021-01-01,967481,8299.90459760967,"Male","35-49","CPRD",7239.30734695644,9472.1621072608
"COVID-19 infection",8174,437,2021-01-01,1001212,15931.191396028,"Female","50-64","CPRD",14472.3413578423,17497.2527296746
"COVID-19 infection",7153,268,2021-01-01,878143,11139.4157899112,"Male","50-64","CPRD",9845.55608692171,12556.0428166429
"COVID-19 infection",2330,116,2021-01-01,285375,14836.6184844503,"Female","65-79","CPRD",12259.7849205315,17795.107088776
"COVID-19 infection",2177,103,2021-01-01,266994,14080.8407679573,"Male","65-79","CPRD",11493.2351212875,17077.1146766841
"First negative test",190063,27122,2020-09-01,41573963,23811.8507008822,"Both","Overall","CPRD",23529.2958626824,24096.9518175262
"First negative test",235046,29382,2020-10-01,45560193,23539.0354909164,"Both","Overall","CPRD",23270.6440671064,23809.7502532779
"First negative test",232103,23084,2020-11-01,39279884,21450.3179286375,"Both","Overall","CPRD",21174.4881836002,21728.8431341571
"First negative test",269317,15412,2020-12-01,37437977,15025.8653131819,"Both","Overall","CPRD",14789.5663601805,15264.9937273754
"First negative test",97727,4175,2021-01-01,11975960,12724.4496474604,"Both","Overall","CPRD",12341.3696722124,13116.3968172115
"First negative test",44257,7561,2020-09-01,9520847,28986.5492009272,"Female","<=34","CPRD",28336.8240979535,29647.4132555629
"First negative test",30882,2515,2020-09-01,6893116,13317.2718985144,"Male","<=34","CPRD",12801.8368158064,13848.1359072768
"First negative test",3732,661,2020-09-01,774997,31131.0882493739,"Female",">=80","CPRD",28802.7668689317,33597.5082555349
"First negative test",1569,294,2020-09-01,326635,32853.184747501,"Male",">=80","CPRD",29204.7552573744,36831.370379841
"First negative test",36417,6121,2020-09-01,7917637,28217.5729955794,"Female","35-49","CPRD",27515.0517300267,28933.4945373137
"First negative test",25236,2578,2020-09-01,5631234,16709.8366006456,"Male","35-49","CPRD",16070.9691417489,17367.588849126
"First negative test",21336,3521,2020-09-01,4638120,27708.7483721853,"Female","50-64","CPRD",26800.9910371193,28639.4123460297
"First negative test",15051,1837,2020-09-01,3340625,20071.2441534144,"Male","50-64","CPRD",19163.7945209117,21010.5662473489
"First negative test",6168,1120,2020-09-01,1345771,30376.6391161646,"Female","65-79","CPRD",28623.4537740935,32209.1152581938
"First negative test",5415,914,2020-09-01,1184981,28153.1940174568,"Male","65-79","CPRD",26357.3739111842,30039.158659464
"First negative test",55139,7936,2020-10-01,10591945,27347.5740291325,"Female","<=34","CPRD",26749.1638706455,27955.9957832229
"First negative test",43061,3109,2020-10-01,8485828,13372.7080020948,"Male","<=34","CPRD",12906.7310384323,13851.2097002312
"First negative test",2618,444,2020-10-01,497650,32565.0557620818,"Female",">=80","CPRD",29606.0475826496,35739.7333643467
"First negative test",1378,252,2020-10-01,261090,35229.2312995519,"Male",">=80","CPRD",31013.5013184666,39858.1310310723
"First negative test",37309,5609,2020-10-01,7184974,28493.9792405651,"Female","35-49","CPRD",27753.1121561987,29249.6158455143
"First negative test",28214,2640,2020-10-01,5525326,17439.6949609851,"Male","35-49","CPRD",16780.723539018,18117.911654803
"First negative test",30371,4608,2020-10-01,5840050,28799.7534267686,"Female","50-64","CPRD",27974.1535114086,29643.5325035701
"First negative test",21866,2403,2020-10-01,4268987,20545.7407108525,"Male","50-64","CPRD",19732.3961768643,21384.0020883441
"First negative test",8049,1387,2020-10-01,1541099,32850.2581599235,"Female","65-79","CPRD",31143.9832382343,34625.7037606423
"First negative test",7041,994,2020-10-01,1363244,26613.7243222783,"Male","65-79","CPRD",24984.7522651324,28321.0190570586
"First negative test",46471,5405,2020-11-01,7822907,25218.5664485082,"Female","<=34","CPRD",24550.6848617704,25900.0143395037
"First negative test",34535,2016,2020-11-01,5920158,12429.397999175,"Male","<=34","CPRD",11892.6945218654,12984.0800988945
"First negative test",3062,447,2020-11-01,507935,32121.2359849193,"Female",">=80","CPRD",29212.1326098099,35241.6306939479
"First negative test",1893,290,2020-11-01,313359,33779.1478783121,"Male",">=80","CPRD",30002.8747843409,37899.1930182499
"First negative test",40586,4579,2020-11-01,6830174,24469.8744131555,"Female","35-49","CPRD",23766.1969735621,25189.0959521333
"First negative test",29249,2022,2020-11-01,4986000,14802.0457280385,"Male","35-49","CPRD",14163.8295393251,15461.6087098295
"First negative test",32736,3807,2020-11-01,5523501,25157.1421821052,"Female","50-64","CPRD",24364.2884265055,25969.2265995715
"First negative test",24048,2050,2020-11-01,4094923,18272.6268601388,"Male","50-64","CPRD",17490.1107388907,19081.1336276608
"First negative test",10453,1476,2020-11-01,1749216,30798.9407826135,"Female","65-79","CPRD",29247.5635971244,32411.2422440454
"First negative test",9070,992,2020-11-01,1531711,23638.9240529055,"Male","65-79","CPRD",22190.5985239973,25156.9584095791
"First negative test",54462,3508,2020-12-01,7555484,16946.8957911896,"Female","<=34","CPRD",16390.6847676483,17517.1687736279
"First negative test",43010,1293,2020-12-01,5999387,7866.55369956964,"Male","<=34","CPRD",7443.56604845685,8307.31534099353
"First negative test",2676,261,2020-12-01,374137,25462.5979253589,"Female",">=80","CPRD",22466.9223712665,28746.4990160901
"First negative test",1659,162,2020-12-01,231475,25544.8752565072,"Male",">=80","CPRD",21762.6499979621,29795.4836684863
"First negative test",47191,3096,2020-12-01,6566327,17209.6211474086,"Female","35-49","CPRD",16608.6989214387,17826.729579901
"First negative test",35986,1519,2020-12-01,5020542,11043.3295847341,"Male","35-49","CPRD",10494.8941100236,11612.9892966837
"First negative test",36763,2556,2020-12-01,5095635,18308.6111936981,"Female","50-64","CPRD",17605.6409376806,19032.4517973811
"First negative test",27071,1342,2020-12-01,3762735,13017.9244618609,"Male","50-64","CPRD",12330.6693438234,13733.5139607153
"First negative test",11131,986,2020-12-01,1535711,23434.747813879,"Female","65-79","CPRD",21994.6384568504,24944.3860218701
"First negative test",9368,689,2020-12-01,1296544,19396.5650220895,"Male","65-79","CPRD",17975.0941757437,20900.5603634195
"First negative test",18834,909,2021-01-01,2305574,14390.5595743186,"Female","<=34","CPRD",13470.1430685805,15357.3084610188
"First negative test",14870,368,2021-01-01,1826049,7355.771942593,"Male","<=34","CPRD",6623.33891527523,8147.07112923192
"First negative test",980,71,2021-01-01,119551,21676.941221738,"Female",">=80","CPRD",16929.8707069543,27342.5189728242
"First negative test",576,39,2021-01-01,70304,20247.7810650888,"Male",">=80","CPRD",14398.1395026886,27679.3716653943
