"","New infections","Tested negative, all","SMD"
"N","303,652","835,029",""
"Days of follow-up (median [iqr])","151 [130.00, 188.00]","151 [130.00, 188.00]","0.001"
"Age (median [iqr])","41 [29.00, 54.00]","41 [29.00, 54.00]","0.001"
"Age, categories (%)","","","<0.001"
"   <=34","112,720 (37.1)","309,974.8 (37.1)",""
"   35-49","90,022 (29.6)","247,556.3 (29.6)",""
"   50-64","73,732 (24.3)","202,759.6 (24.3)",""
"   65-79","20,965 (6.9)","57,652.8 (6.9)",""
"   >=80","6,213 (2.0)","17,085.5 (2.0)",""
"Sex, female (%)","166,338 (54.8)","484,519.9 (58.0)","0.065"
"Trimester = jan-apr 2021 (%)","59,733 (19.7)","164,263 (19.7)","<0.001"
"Vaccination status (%)","","","0.017"
"   Non vaccinated","302,219 (99.5)","831,982.5 (99.6)",""
"   First dose vaccination","1,377 (0.5)","2,902.6 (0.3)",""
"   Two doses vaccination","56 (0.0)","138.4 (0.0)",""
"   Booster doses","<5","5.5 (0.0)",""
"PCR test (%)","283,986 (93.5)","780,948.4 (93.5)","<0.001"
"Asthma (%)","48,255 (15.9)","145,434.5 (17.4)","0.041"
"Autoimmune disease (%)","6,123 (2.0)","18,400.9 (2.2)","0.013"
"COPD (%)","3,863 (1.3)","13,605.9 (1.6)","0.030"
"Dementia (%)","2,855 (0.9)","8,699 (1.0)","0.010"
"Diabetes (%)","21,121 (7.0)","49,733.8 (6.0)","0.041"
"Heart disease (%)","18,967 (6.2)","52,879.3 (6.3)","0.004"
"Cancer (%)","11,941 (3.9)","35,481.7 (4.2)","0.016"
"Hypertension (%)","39,094 (12.9)","101,765.7 (12.2)","0.021"
"Renal impairment (%)","10,068 (3.3)","26,491.7 (3.2)","0.008"
"Long Covid symptoms (%)","23,780 (7.8)","75,256.6 (9.0)","0.043"
"Abdominal pain (%)","2,650 (0.9)","8,487.7 (1.0)","0.015"
"Allergy (%)","933 (0.3)","2,883.3 (0.3)","0.007"
"Altered smell or taste (%)","201 (0.1)","94.4 (0.0)","0.028"
"Anxiety (%)","3,414 (1.1)","12,521 (1.5)","0.033"
"Blurred vision (%)","115 (0.0)","343.3 (0.0)","0.002"
"Chest pain (%)","1,008 (0.3)","2,860 (0.3)","0.002"
"Cognitive dysfunction (%)","73 (0.0)","219.5 (0.0)","0.001"
"Cough (%)","1,680 (0.6)","6,455.1 (0.8)","0.027"
"Depression (%)","2,754 (0.9)","10,747.3 (1.3)","0.036"
"Dizziness (%)","821 (0.3)","2,557.9 (0.3)","0.007"
"Dyspnea (%)","1,862 (0.6)","4,761.1 (0.6)","0.006"
"Fatigue or malaise (%)","1,889 (0.6)","4,427.4 (0.5)","0.012"
"Gastrointestinal issues (%)","1,414 (0.5)","4,714.3 (0.6)","0.014"
"Headache (%)","2,242 (0.7)","7,210.8 (0.9)","0.014"
"Intermittent fever (%)","210 (0.1)","712.7 (0.1)","0.006"
"Joint pain (%)","3,772 (1.2)","11,889.4 (1.4)","0.016"
"Memory issues (%)","111 (0.0)","285.5 (0.0)","0.001"
"Menstrual problems (%)","652 (0.2)","2,110.1 (0.3)","0.008"
"Muscle spasms or pain (%)","61 (0.0)","198.9 (0.0)","0.003"
"Neuralgia (%)","500 (0.2)","1,633.5 (0.2)","0.007"
"Pins sensation (%)","225 (0.1)","625.6 (0.1)","<0.001"
"Postexertional fatigue = 0 (%)","303,652 (100.0)","835,029 (100.0)","<0.001"
"Sleep disorder (%)","759 (0.2)","2,474 (0.3)","0.009"
"Tachycardia (%)","722 (0.2)","2,075.3 (0.2)","0.002"
"Tinnitus and hearing problems (%)","621 (0.2)","1,827.3 (0.2)","0.003"
"Number of symptoms (%)","","","0.044"
"   0","279,872 (92.2)","759,772.4 (91.0)",""
"   1","19,614 (6.5)","60,919.7 (7.3)",""
"   2","3,563 (1.2)","12,252 (1.5)",""
"   3","500 (0.2)","1,738.9 (0.2)",""
"   4","76 (0.0)","275 (0.0)",""
"   5","19 (0.0)","59.1 (0.0)",""
"   6","6 (0.0)","8.2 (0.0)",""
"   7","<5","0.9 (0.0)",""
"   8","<5","0.9 (0.0)",""
"   9","<5","1.8 (0.0)",""
"Days elapsed since index date and record of symptom (median [iqr])","120 [104.00, 147.00]","120 [104.00, 147.00]","0.010"
