"","First infection","Reinfections","SMD"
"N","2,126","709",""
"Days of follow-up (median [iqr])","141 [127.00, 173.00]","142 [127.00, 173.00]","0.002"
"Age (median [iqr])","47 [31.00, 58.00]","46 [31.00, 59.00]","0.001"
"Age, categories (%)","","","<0.001"
"   <=34","680.7 (32.0)","227 (32.0)",""
"   35-49","512.8 (24.1)","171 (24.1)",""
"   50-64","587.7 (27.6)","196 (27.6)",""
"   65-79","206.9 (9.7)","69 (9.7)",""
"   >=80","137.9 (6.5)","46 (6.5)",""
"Sex, female (%)","1,419.3 (66.8)","470 (66.3)","0.010"
"Trimester = jan-apr 2021 (%)","563.7 (26.5)","188 (26.5)","<0.001"
"Vaccination status (%)","","","0.162"
"   Non vaccinated","2,107 (99.1)","687 (96.9)",""
"   First dose vaccination","19 (0.9)","20 (2.8)",""
"   Two doses vaccination","<5","<5",""
"PCR test (%)","1,673.2 (78.7)","558 (78.7)","<0.001"
"Asthma (%)","438.3 (20.6)","141 (19.9)","0.018"
"Autoimmune disease (%)","63.5 (3.0)","15 (2.1)","0.055"
"COPD (%)","82 (3.9)","26 (3.7)","0.010"
"Dementia (%)","48 (2.3)","28 (3.9)","0.098"
"Diabetes (%)","217.9 (10.2)","92 (13.0)","0.085"
"Heart disease (%)","245.9 (11.6)","89 (12.6)","0.030"
"Cancer (%)","125.9 (5.9)","40 (5.6)","0.012"
"Hypertension (%)","415.8 (19.6)","138 (19.5)","0.002"
"Renal impairment (%)","138.9 (6.5)","58 (8.2)","0.063"
"Long Covid symptoms (%)","1,852.1 (87.1)","93 (13.1)","2.200"
"Abdominal pain (%)","178.9 (8.4)","8 (1.1)","0.347"
"Allergy (%)","87 (4.1)","<5","0.235"
"Altered smell or taste (%)","15 (0.7)","<5","0.087"
"Anxiety (%)","252.9 (11.9)","7 (1.0)","0.456"
"Blurred vision (%)","10 (0.5)","<5","0.097"
"Chest pain (%)","75 (3.5)","<5","0.210"
"Cognitive dysfunction (%)","<5","<5","0.014"
"Cough (%)","117.9 (5.5)","13 (1.8)","0.198"
"Depression (%)","217.9 (10.2)","9 (1.3)","0.393"
"Dizziness (%)","68 (3.2)","<5","0.224"
"Dyspnea (%)","161.9 (7.6)","7 (1.0)","0.331"
"Fatigue or malaise (%)","152.9 (7.2)","<5","0.359"
"Gastrointestinal issues (%)","104 (4.9)","8 (1.1)","0.222"
"Headache (%)","163.9 (7.7)","11 (1.6)","0.296"
"Intermittent fever (%)","18 (0.8)","<5","0.075"
"Joint pain (%)","309.9 (14.6)","18 (2.5)","0.441"
"Memory issues (%)","13 (0.6)","<5","0.077"
"Menstrual problems (%)","44 (2.1)","<5","0.149"
"Muscle spasms or pain (%)","<5","<5","0.061"
"Neuralgia (%)","32 (1.5)","<5","0.130"
"Pins sensation (%)","16 (0.8)","<5","0.123"
"Postexertional fatigue = 0 (%)","2,126 (100.0)","709 (100.0)","<0.001"
"Sleep disorder (%)","67 (3.1)","<5","0.238"
"Tachycardia (%)","38 (1.8)","<5","0.191"
"Tinnitus and hearing problems (%)","51 (2.4)","6 (0.8)","0.123"
"Number of symptoms (%)","","","2.213"
"   0","273.9 (12.9)","616 (86.9)",""
"   1","1,544.3 (72.6)","80 (11.3)",""
"   2","272.9 (12.8)","11 (1.6)",""
"   3","31 (1.5)","<5",""
"   4","<5","<5",""
"   5","<5","<5",""
"Days elapsed since index date and record of symptom (median [iqr])","113 [101.00, 128.00]","110.5 [100.00, 132.50]","0.056"
