"","First infection","Tested negative, earliest","SMD"
"N","302,336","764,470",""
"Days of follow-up (median [iqr])","152 [130.00, 188.00]","151 [130.00, 188.00]","0.001"
"Age (median [iqr])","41 [29.00, 54.00]","41 [29.00, 54.00]","0.001"
"Age, categories (%)","","","<0.001"
"   <=34","112,218 (37.1)","283,748.2 (37.1)",""
"   35-49","89,752 (29.7)","226,941.9 (29.7)",""
"   50-64","73,492 (24.3)","185,827.8 (24.3)",""
"   65-79","20,847 (6.9)","52,712.6 (6.9)",""
"   >=80","6,027 (2.0)","15,239.5 (2.0)",""
"Sex, female (%)","165,519 (54.7)","433,923.1 (56.8)","0.041"
"Trimester = jan-apr 2021 (%)","59,177 (19.6)","149,631.7 (19.6)","<0.001"
"Vaccination status (%)","","","0.027"
"   Non vaccinated","300,934 (99.5)","762,139.9 (99.7)",""
"   First dose vaccination","1,348 (0.4)","2,215.4 (0.3)",""
"   Two doses vaccination","54 (0.0)","104.5 (0.0)",""
"   Booster doses","<5","10.1 (0.0)",""
"PCR test (%)","283,363 (93.7)","716,495.9 (93.7)","<0.001"
"Asthma (%)","48,021 (15.9)","130,633 (17.1)","0.032"
"Autoimmune disease (%)","6,084 (2.0)","16,455.3 (2.2)","0.010"
"COPD (%)","3,824 (1.3)","12,286.2 (1.6)","0.029"
"Dementia (%)","2,776 (0.9)","5,830.4 (0.8)","0.017"
"Diabetes (%)","20,972 (6.9)","44,864.4 (5.9)","0.044"
"Heart disease (%)","18,784 (6.2)","47,492.4 (6.2)","<0.001"
"Cancer (%)","11,835 (3.9)","32,323.6 (4.2)","0.016"
"Hypertension (%)","38,811 (12.8)","92,187.8 (12.1)","0.024"
"Renal impairment (%)","9,923 (3.3)","23,652.4 (3.1)","0.011"
"Long Covid symptoms (%)","39,740 (13.1)","99,898.2 (13.1)","0.002"
"Abdominal pain (%)","4,651 (1.5)","12,156.8 (1.6)","0.004"
"Allergy (%)","1,430 (0.5)","3,620.5 (0.5)","<0.001"
"Altered smell or taste (%)","335 (0.1)","142 (0.0)","0.036"
"Anxiety (%)","5,565 (1.8)","16,207.5 (2.1)","0.020"
"Blurred vision (%)","205 (0.1)","524.3 (0.1)","<0.001"
"Chest pain (%)","2,028 (0.7)","4,279.1 (0.6)","0.014"
"Cognitive dysfunction (%)","121 (0.0)","304.7 (0.0)","<0.001"
"Cough (%)","3,483 (1.2)","9,464.3 (1.2)","0.008"
"Depression (%)","4,266 (1.4)","13,611.2 (1.8)","0.029"
"Dizziness (%)","1,443 (0.5)","3,645.3 (0.5)","<0.001"
"Dyspnea (%)","3,747 (1.2)","7,226.6 (0.9)","0.028"
"Fatigue or malaise (%)","3,432 (1.1)","6,084.1 (0.8)","0.035"
"Gastrointestinal issues (%)","2,666 (0.9)","6,913.9 (0.9)","0.002"
"Headache (%)","3,651 (1.2)","9,635.9 (1.3)","0.005"
"Intermittent fever (%)","417 (0.1)","989.1 (0.1)","0.002"
"Joint pain (%)","6,161 (2.0)","15,706.1 (2.1)","0.001"
"Memory issues (%)","188 (0.1)","399.9 (0.1)","0.004"
"Menstrual problems (%)","1,156 (0.4)","3,008.5 (0.4)","0.002"
"Muscle spasms or pain (%)","95 (0.0)","274.3 (0.0)","0.002"
"Neuralgia (%)","844 (0.3)","2,246.6 (0.3)","0.003"
"Pins sensation (%)","407 (0.1)","892.6 (0.1)","0.005"
"Postexertional fatigue = 0 (%)","302,336 (100.0)","764,470 (100.0)","<0.001"
"Sleep disorder (%)","1,467 (0.5)","3,866.1 (0.5)","0.003"
"Tachycardia (%)","1,366 (0.5)","2,883.8 (0.4)","0.012"
"Tinnitus and hearing problems (%)","1,104 (0.4)","2,678.1 (0.4)","0.002"
"Number of symptoms (%)","","","0.009"
"   0","262,596 (86.9)","664,571.8 (86.9)",""
"   1","31,292 (10.4)","78,017 (10.2)",""
"   2","6,847 (2.3)","17,884.8 (2.3)",""
"   3","1,259 (0.4)","3,217.6 (0.4)",""
"   4","265 (0.1)","611.1 (0.1)",""
"   5","63 (0.0)","140.3 (0.0)",""
"   6","9 (0.0)","21.5 (0.0)",""
"   7","<5","2.5 (0.0)",""
"   8","<5","0.8 (0.0)",""
"   9","<5","2.5 (0.0)",""
"Days elapsed since index date and record of symptom (median [iqr])","84 [52.00, 120.00]","87 [54.00, 122.00]","0.038"
