"","First infection","Tested negative, earliest","SMD"
"N","426,690","1,036,934",""
"Days of follow-up (median [iqr])","365 [256.00, 365.00]","358 [249.00, 365.00]","0.098"
"Age (median [iqr])","44 [31.00, 58.00]","44 [32.00, 58.00]","0.001"
"Age, categories (%)","","","<0.001"
"   <=34","129,016 (30.2)","313,532 (30.2)",""
"   35-49","131,314 (30.8)","319,117 (30.8)",""
"   50-64","97,096 (22.8)","235,961 (22.8)",""
"   65-79","46,739 (11.0)","113,584 (11.0)",""
"   >=80","22,525 (5.3)","54,740 (5.3)",""
"Sex, female (%)","225,595 (52.9)","543,159 (52.4)","0.010"
"Trimester (%)","","","0.001"
"   Sep-dec 2020","143,626 (33.7)","349,037 (33.7)",""
"   Jan-apr 2021","133,708 (31.3)","324,962 (31.3)",""
"   May-aug 2021","124,473 (29.2)","302,277 (29.2)",""
"   Sep-dec 2021","24,883 (5.8)","60,658 (5.8)",""
"Vaccination status (%)","","","0.083"
"   Non vaccinated","344,703 (80.8)","814,848 (78.6)",""
"   First dose vaccination","32,599 (7.6)","73,601 (7.1)",""
"   Two doses vaccination","49,018 (11.5)","147,127 (14.2)",""
"   Booster doses","370 (0.1)","1,358 (0.1)",""
"PCR test (%)","225,464 (52.8)","547,918 (52.8)","<0.001"
"Asthma (%)","32,012 (7.5)","79,375 (7.7)","0.006"
"Autoimmune disease (%)","7,931 (1.9)","19,845 (1.9)","0.004"
"COPD (%)","11,715 (2.7)","31,650 (3.1)","0.018"
"Dementia (%)","6,494 (1.5)","9,553 (0.9)","0.055"
"Diabetes (%)","37,921 (8.9)","82,890 (8.0)","0.032"
"Heart disease (%)","48,449 (11.4)","116,283 (11.2)","0.004"
"Cancer (%)","28,679 (6.7)","74,914 (7.2)","0.020"
"Hypertension (%)","78,835 (18.5)","187,218 (18.1)","0.011"
"Renal impairment (%)","18,620 (4.4)","42,892 (4.1)","0.011"
"Long Covid symptoms (%)","93,326 (21.9)","202,088 (19.5)","0.059"
"Abdominal pain (%)","15,431 (3.6)","32,253 (3.1)","0.028"
"Allergy (%)","6,115 (1.4)","12,989 (1.3)","0.016"
"Altered smell or taste (%)","707 (0.2)","335 (0.0)","0.042"
"Anxiety (%)","9,121 (2.1)","20,590 (2.0)","0.011"
"Blurred vision (%)","2,200 (0.5)","4,631 (0.4)","0.010"
"Chest pain (%)","5,634 (1.3)","11,711 (1.1)","0.017"
"Cognitive dysfunction (%)","1,040 (0.2)","2,391 (0.2)","0.003"
"Cough (%)","6,569 (1.5)","13,782 (1.3)","0.018"
"Depression (%)","3,876 (0.9)","9,335 (0.9)","0.001"
"Dizziness (%)","6,910 (1.6)","15,242 (1.5)","0.012"
"Dyspnea (%)","3,066 (0.7)","5,308 (0.5)","0.026"
"Fatigue or malaise (%)","6,377 (1.5)","13,080 (1.3)","0.020"
"Gastrointestinal issues (%)","8,158 (1.9)","18,640 (1.8)","0.008"
"Headache (%)","7,594 (1.8)","15,879 (1.5)","0.019"
"Intermittent fever (%)","4,408 (1.0)","10,405 (1.0)","0.003"
"Joint pain (%)","16,846 (3.9)","35,525 (3.4)","0.028"
"Memory issues (%)","899 (0.2)","1,799 (0.2)","0.008"
"Menstrual problems (%)","2,209 (0.5)","4,235 (0.4)","0.016"
"Muscle spasms or pain (%)","538 (0.1)","1,401 (0.1)","0.002"
"Neuralgia (%)","4,241 (1.0)","9,684 (0.9)","0.006"
"Pins sensation (%)","1,710 (0.4)","3,620 (0.3)","0.008"
"Postexertional fatigue = 0 (%)","426,690 (100.0)","1,036,934 (100.0)","<0.001"
"Sleep disorder (%)","4,808 (1.1)","10,820 (1.0)","0.008"
"Tachycardia (%)","1,883 (0.4)","3,800 (0.4)","0.012"
"Tinnitus and hearing problems (%)","2,730 (0.6)","6,341 (0.6)","0.004"
"Number of symptoms (%)","","","0.060"
"   0","333,364 (78.1)","834,846 (80.5)",""
"   1","71,039 (16.6)","155,431 (15.0)",""
"   2","16,758 (3.9)","35,322 (3.4)",""
"   3","4,077 (1.0)","8,506 (0.8)",""
"   4","1,104 (0.3)","2,157 (0.2)",""
"   5","254 (0.1)","517 (0.0)",""
"   6","66 (0.0)","113 (0.0)",""
"   7","24 (0.0)","33 (0.0)",""
"   8","<5","7 (0.0)",""
"   9","<5","<5",""
"   10","<5","<5",""
"Days elapsed since index date and record of symptom (median [iqr])","184 [131.00, 251.00]","184 [132.00, 253.00]","0.011"
