"","First infection","Reinfections","SMD"
"N","39,492","13,253",""
"Days of follow-up (median [iqr])","326 [244.00, 365.00]","306 [234.00, 365.00]","0.093"
"Age (median [iqr])","46 [30.00, 63.00]","46 [30.00, 63.00]","0.001"
"Age, categories (%)","","","<0.001"
"   <=34","12,492 (31.6)","4,192 (31.6)",""
"   35-49","9,619 (24.4)","3,228 (24.4)",""
"   50-64","8,054 (20.4)","2,703 (20.4)",""
"   65-79","4,175 (10.6)","1,401 (10.6)",""
"   >=80","5,152 (13.0)","1,729 (13.0)",""
"Sex, female (%)","24,297 (61.5)","8,084 (61.0)","0.011"
"Trimester (%)","","","0.005"
"   Sep-dec 2020","9,625 (24.4)","3,230 (24.4)",""
"   Jan-apr 2021","11,945 (30.2)","3,995 (30.1)",""
"   May-aug 2021","14,122 (35.8)","4,734 (35.7)",""
"   Sep-dec 2021","3,799 (9.6)","1,294 (9.8)",""
"Vaccination status (%)","","","0.151"
"   Non vaccinated","29,401 (74.4)","9,655 (72.9)",""
"   First dose vaccination","3,675 (9.3)","1,803 (13.6)",""
"   Two doses vaccination","6,378 (16.1)","1,766 (13.3)",""
"   Booster doses","39 (0.1)","29 (0.2)",""
"PCR test (%)","26,214 (66.4)","8,797 (66.4)","<0.001"
"Asthma (%)","3,687 (9.3)","1,165 (8.8)","0.019"
"Autoimmune disease (%)","1,094 (2.8)","370 (2.8)","0.001"
"COPD (%)","1,836 (4.6)","670 (5.1)","0.019"
"Dementia (%)","1,361 (3.4)","789 (6.0)","0.119"
"Diabetes (%)","4,851 (12.3)","1,643 (12.4)","0.003"
"Heart disease (%)","7,013 (17.8)","2,392 (18.0)","0.008"
"Cancer (%)","3,967 (10.0)","1,350 (10.2)","0.005"
"Hypertension (%)","10,397 (26.3)","3,266 (24.6)","0.039"
"Renal impairment (%)","3,389 (8.6)","1,279 (9.7)","0.037"
"Long Covid symptoms (%)","33,807 (85.6)","3,499 (26.4)","1.486"
"Abdominal pain (%)","5,410 (13.7)","576 (4.3)","0.331"
"Allergy (%)","2,067 (5.2)","235 (1.8)","0.189"
"Altered smell or taste (%)","239 (0.6)","16 (0.1)","0.081"
"Anxiety (%)","3,294 (8.3)","368 (2.8)","0.245"
"Blurred vision (%)","776 (2.0)","91 (0.7)","0.112"
"Chest pain (%)","1,996 (5.1)","244 (1.8)","0.177"
"Cognitive dysfunction (%)","476 (1.2)","54 (0.4)","0.089"
"Cough (%)","2,520 (6.4)","286 (2.2)","0.210"
"Depression (%)","1,489 (3.8)","186 (1.4)","0.150"
"Dizziness (%)","2,359 (6.0)","267 (2.0)","0.203"
"Dyspnea (%)","1,119 (2.8)","150 (1.1)","0.122"
"Fatigue or malaise (%)","2,290 (5.8)","255 (1.9)","0.202"
"Gastrointestinal issues (%)","3,017 (7.6)","413 (3.1)","0.201"
"Headache (%)","2,710 (6.9)","292 (2.2)","0.225"
"Intermittent fever (%)","1,620 (4.1)","201 (1.5)","0.157"
"Joint pain (%)","5,874 (14.9)","580 (4.4)","0.362"
"Memory issues (%)","317 (0.8)","39 (0.3)","0.069"
"Menstrual problems (%)","781 (2.0)","76 (0.6)","0.125"
"Muscle spasms or pain (%)","220 (0.6)","23 (0.2)","0.064"
"Neuralgia (%)","1,496 (3.8)","167 (1.3)","0.162"
"Pins sensation (%)","573 (1.4)","69 (0.5)","0.094"
"Postexertional fatigue = 0 (%)","39,492 (100.0)","13,253 (100.0)","<0.001"
"Sleep disorder (%)","1,737 (4.4)","218 (1.6)","0.161"
"Tachycardia (%)","655 (1.7)","77 (0.6)","0.103"
"Tinnitus and hearing problems (%)","983 (2.5)","107 (0.8)","0.132"
"Number of symptoms (%)","","","1.494"
"   0","5,685 (14.4)","9,754 (73.6)",""
"   1","26,143 (66.2)","2,460 (18.6)",""
"   2","5,768 (14.6)","717 (5.4)",""
"   3","1,404 (3.6)","234 (1.8)",""
"   4","374 (0.9)","57 (0.4)",""
"   5","84 (0.2)","20 (0.2)",""
"   6","29 (0.1)","11 (0.1)",""
"   7","<5","<5",""
"   8","<5","<5",""
"   9","<5","<5",""
"Days elapsed since index date and record of symptom (median [iqr])","175 [127.00, 238.00]","173 [126.00, 242.25]","0.001"
