"","COVID-19 infection","First infection","Reinfections","Tested negative, all","Tested negative, earliest"
"N","469,503","456,236","13,267","2,785,887","1,643,589"
"Days of follow-up (median [iqr])","358 [254.00, 365.00]","360 [254.00, 365.00]","306 [234.00, 365.00]","348 [240.00, 365.00]","365 [275.00, 365.00]"
"Age (median [iqr])","43 [30.00, 57.00]","43 [30.00, 57.00]","46 [30.00, 63.00]","47 [34.00, 63.00]","48 [34.00, 63.00]"
"Age, categories (%)","","","","",""
"   <=34","157,778 (33.6)","153,584 (33.7)","4,194 (31.6)","718,989 (25.8)","412,061 (25.1)"
"   35-49","138,907 (29.6)","135,679 (29.7)","3,228 (24.3)","779,095 (28.0)","469,681 (28.6)"
"   50-64","100,164 (21.3)","97,461 (21.4)","2,703 (20.4)","658,556 (23.6)","395,324 (24.1)"
"   65-79","48,249 (10.3)","46,848 (10.3)","1,401 (10.6)","439,079 (15.8)","263,030 (16.0)"
"   >=80","24,405 (5.2)","22,664 (5.0)","1,741 (13.1)","190,168 (6.8)","103,493 (6.3)"
"Sex, female (%)","247,262 (52.7)","239,168 (52.4)","8,094 (61.0)","1,540,225 (55.3)","872,441 (53.1)"
"Trimester (%)","","","","",""
"   Sep-dec 2020","146,975 (31.3)","143,737 (31.5)","3,238 (24.4)","907,680 (32.6)","700,640 (42.6)"
"   Jan-apr 2021","137,728 (29.3)","133,732 (29.3)","3,996 (30.1)","877,404 (31.5)","527,588 (32.1)"
"   May-aug 2021","158,617 (33.8)","153,882 (33.7)","4,735 (35.7)","666,648 (23.9)","289,618 (17.6)"
"   Sep-dec 2021","26,183 (5.6)","24,885 (5.5)","1,298 (9.8)","334,155 (12.0)","125,743 (7.7)"
"Vaccination status (%)","","","","",""
"   Non vaccinated","376,360 (80.2)","366,696 (80.4)","9,664 (72.8)","2,027,450 (72.8)","1,357,450 (82.6)"
"   First dose vaccination","40,062 (8.5)","38,258 (8.4)","1,804 (13.6)","200,421 (7.2)","83,652 (5.1)"
