"","New infections","Tested negative, earliest","SMD"
"N","438,159","1,059,596",""
"Days of follow-up (median [iqr])","365 [256.00, 365.00]","358 [249.00, 365.00]","0.094"
"Age (median [iqr])","45 [32.00, 58.00]","45 [32.00, 58.00]","<0.001"
"Age, categories (%)","","","<0.001"
"   <=34","131,754 (30.1)","318,620 (30.1)",""
"   35-49","134,336 (30.7)","324,864 (30.7)",""
"   50-64","99,763 (22.8)","241,256 (22.8)",""
"   65-79","48,111 (11.0)","116,346 (11.0)",""
"   >=80","24,195 (5.5)","58,511 (5.5)",""
"Sex, female (%)","232,981 (53.2)","555,243 (52.4)","0.015"
"Trimester (%)","","","0.001"
"   Sep-dec 2020","146,798 (33.5)","355,000 (33.5)",""
"   Jan-apr 2021","137,684 (31.4)","333,003 (31.4)",""
"   May-aug 2021","127,496 (29.1)","308,102 (29.1)",""
"   Sep-dec 2021","26,181 (6.0)","63,491 (6.0)",""
"Vaccination status (%)","","","0.085"
"   Non vaccinated","353,052 (80.6)","831,170 (78.4)",""
"   First dose vaccination","34,060 (7.8)","75,205 (7.1)",""
"   Two doses vaccination","50,646 (11.6)","151,816 (14.3)",""
"   Booster doses","401 (0.1)","1,405 (0.1)",""
"PCR test (%)","233,565 (53.3)","564,828 (53.3)","<0.001"
"Asthma (%)","33,079 (7.5)","81,008 (7.6)","0.004"
"Autoimmune disease (%)","8,286 (1.9)","20,418 (1.9)","0.003"
"COPD (%)","12,376 (2.8)","32,735 (3.1)","0.016"
"Dementia (%)","7,254 (1.7)","10,087 (1.0)","0.062"
"Diabetes (%)","39,536 (9.0)","85,454 (8.1)","0.034"
"Heart disease (%)","50,773 (11.6)","120,373 (11.4)","0.007"
"Cancer (%)","29,984 (6.8)","77,455 (7.3)","0.018"
"Hypertension (%)","82,023 (18.7)","193,334 (18.2)","0.012"
"Renal impairment (%)","19,861 (4.5)","44,944 (4.2)","0.014"
"Long Covid symptoms (%)","119,105 (27.2)","254,744 (24.0)","0.072"
"Abdominal pain (%)","20,254 (4.6)","42,376 (4.0)","0.031"
"Allergy (%)","8,148 (1.9)","17,015 (1.6)","0.019"
"Altered smell or taste (%)","857 (0.2)","468 (0.0)","0.044"
"Anxiety (%)","12,302 (2.8)","27,172 (2.6)","0.015"
"Blurred vision (%)","2,977 (0.7)","6,085 (0.6)","0.013"
"Chest pain (%)","7,756 (1.8)","15,474 (1.5)","0.025"
"Cognitive dysfunction (%)","1,460 (0.3)","3,265 (0.3)","0.004"
"Cough (%)","8,930 (2.0)","17,549 (1.7)","0.028"
"Depression (%)","5,159 (1.2)","12,177 (1.1)","0.003"
"Dizziness (%)","9,080 (2.1)","19,907 (1.9)","0.014"
"Dyspnea (%)","4,804 (1.1)","7,172 (0.7)","0.045"
"Fatigue or malaise (%)","8,992 (2.1)","17,110 (1.6)","0.033"
"Gastrointestinal issues (%)","11,054 (2.5)","25,178 (2.4)","0.009"
"Headache (%)","10,071 (2.3)","20,826 (2.0)","0.023"
"Intermittent fever (%)","5,769 (1.3)","13,916 (1.3)","<0.001"
"Joint pain (%)","21,998 (5.0)","46,193 (4.4)","0.031"
"Memory issues (%)","1,241 (0.3)","2,297 (0.2)","0.013"
"Menstrual problems (%)","2,954 (0.7)","5,610 (0.5)","0.019"
"Muscle spasms or pain (%)","720 (0.2)","1,814 (0.2)","0.002"
"Neuralgia (%)","5,489 (1.3)","12,718 (1.2)","0.005"
"Pins sensation (%)","2,288 (0.5)","4,632 (0.4)","0.012"
"Postexertional fatigue = 0 (%)","438,159 (100.0)","1,059,596 (100.0)","<0.001"
"Sleep disorder (%)","6,651 (1.5)","14,466 (1.4)","0.013"
"Tachycardia (%)","2,816 (0.6)","5,116 (0.5)","0.021"
"Tinnitus and hearing problems (%)","3,780 (0.9)","8,382 (0.8)","0.008"
"Number of symptoms (%)","","","0.075"
"   0","319,054 (72.8)","804,852 (76.0)",""
"   1","85,764 (19.6)","187,189 (17.7)",""
"   2","23,992 (5.5)","49,499 (4.7)",""
"   3","6,632 (1.5)","13,193 (1.2)",""
"   4","1,970 (0.4)","3,596 (0.3)",""
"   5","528 (0.1)","942 (0.1)",""
"   6","166 (0.0)","243 (0.0)",""
"   7","42 (0.0)","70 (0.0)",""
"   8","5 (0.0)","10 (0.0)",""
"   9","<5","<5",""
"   10","<5","<5",""
"Days elapsed since index date and record of symptom (median [iqr])","141 [80.00, 222.00]","143 [82.00, 224.00]","0.022"
