"cohort","n_persons","n_events","incidence_start_date","person_days","ir_100000_pys","sex","age_group","database","ir_100000_pys_95CI_lower","ir_100000_pys_95CI_upper"
"COVID-19 infection",18874,4982,2020-09-01,5987024,30372.8530234721,"Both","Overall","SIDIAP",29535.2455381739,31228.1899589624
"COVID-19 infection",55593,14411,2020-10-01,17695354,29725.4013680653,"Both","Overall","SIDIAP",29242.0373178357,30214.7523058356
"COVID-19 infection",38070,9963,2020-11-01,12123001,29996.6567684025,"Both","Overall","SIDIAP",29410.49927257,30591.5579749556
"COVID-19 infection",34438,8975,2020-12-01,10973174,29853.4863294795,"Both","Overall","SIDIAP",29239.0163707146,30477.618063809
"COVID-19 infection",60329,15005,2021-01-01,19256449,28441.510685589,"Both","Overall","SIDIAP",27988.2338369925,28900.2887158791
"COVID-19 infection",26595,6311,2021-02-01,8475409,27178.8063561298,"Both","Overall","SIDIAP",26512.3472800572,27857.7829170671
"COVID-19 infection",23633,5479,2021-03-01,7522563,26584.4898872897,"Both","Overall","SIDIAP",25885.1727504976,27297.9145754099
"COVID-19 infection",27171,5790,2021-04-01,8284140,25510.7953269742,"Both","Overall","SIDIAP",24857.8764036785,26176.5232637648
"COVID-19 infection",13605,2519,2021-05-01,3848546,23890.4510950369,"Both","Overall","SIDIAP",22966.5162427112,24842.0204915871
"COVID-19 infection",18006,2708,2021-06-01,4514072,21896.4163619898,"Both","Overall","SIDIAP",21079.3998527505,22736.9875844233
"COVID-19 infection",100649,15070,2021-07-01,23340714,23566.3313470188,"Both","Overall","SIDIAP",23191.5586405885,23945.6425853295
"COVID-19 infection",26357,3840,2021-08-01,5475516,25597.5875150397,"Both","Overall","SIDIAP",24794.2991161237,26420.2746495273
"COVID-19 infection",7232,821,2021-09-01,1334091,22462.110905478,"Both","Overall","SIDIAP",20951.7050256604,24052.6336721707
"COVID-19 infection",4952,410,2021-10-01,782908,19114.6341588028,"Both","Overall","SIDIAP",17308.9646115398,21057.4805700551
"COVID-19 infection",13999,659,2021-11-01,1798292,13375.7476538849,"Both","Overall","SIDIAP",12373.8763612342,14437.1360473459
"COVID-19 infection",2903,883,2020-09-01,898336,35876.8879350265,"Female","<=34","SIDIAP",33549.2343251547,38323.4728374823
"COVID-19 infection",2738,549,2020-09-01,901606,22225.3401153054,"Male","<=34","SIDIAP",20404.8435590798,24164.6893131426
"COVID-19 infection",680,259,2020-09-01,194205,48677.9434103138,"Female",">=80","SIDIAP",42929.61054998,54981.5875266573
"COVID-19 infection",323,103,2020-09-01,96965,38771.7217552725,"Male",">=80","SIDIAP",31646.7263236531,47021.9889237002
"COVID-19 infection",3056,909,2020-09-01,949241,34952.6621795729,"Female","35-49","SIDIAP",32717.0988560329,37300.7603945732
"COVID-19 infection",3006,591,2020-09-01,992891,21725.9497769644,"Male","35-49","SIDIAP",20009.4314112417,23550.3398018832
"COVID-19 infection",2171,677,2020-09-01,670804,36837.1387171215,"Female","50-64","SIDIAP",34114.1800769621,39719.622588614
"COVID-19 infection",2109,457,2020-09-01,690238,24166.3020581307,"Male","50-64","SIDIAP",22001.1608459863,26486.9033838858
"COVID-19 infection",973,319,2020-09-01,300702,38721.0593876995,"Female","65-79","SIDIAP",34588.0394326671,43212.0023973024
"COVID-19 infection",915,235,2020-09-01,292036,29371.3788710981,"Male","65-79","SIDIAP",25735.8760380384,33376.5377860282
"COVID-19 infection",8190,2391,2020-10-01,2538284,34382.0864804726,"Female","<=34","SIDIAP",33017.6254187535,35788.4544336384
"COVID-19 infection",7603,1365,2020-10-01,2516352,19799.4954600946,"Male","<=34","SIDIAP",18762.9462852933,20878.4101019234
"COVID-19 infection",2231,766,2020-10-01,668150,41845.3939983537,"Female",">=80","SIDIAP",38934.1307414572,44916.6921631938
"COVID-19 infection",1069,353,2020-10-01,321757,40044.1948426918,"Male",">=80","SIDIAP",35975.3080290674,44447.2784749686
"COVID-19 infection",9211,2719,2020-10-01,2868763,34594.5273276322,"Female","35-49","SIDIAP",33306.2978968958,35919.8202196161
"COVID-19 infection",8004,1479,2020-10-01,2661498,20283.1262694918,"Male","35-49","SIDIAP",19262.4658535229,21343.8275901489
"COVID-19 infection",6874,2143,2020-10-01,2130256,36718.356854763,"Female","50-64","SIDIAP",35180.0428977308,38306.6237160728
"COVID-19 infection",6416,1379,2020-10-01,2106026,23899.7524247089,"Male","50-64","SIDIAP",22654.8279945769,25195.2945764733
"COVID-19 infection",3230,1080,2020-10-01,999691,39432.1845450244,"Female","65-79","SIDIAP",37115.2275277855,41855.9006365238
"COVID-19 infection",2765,736,2020-10-01,884577,30369.3177643099,"Male","65-79","SIDIAP",28214.6190808009,32644.9256681267
"COVID-19 infection",5043,1529,2020-11-01,1559999,35774.702419681,"Female","<=34","SIDIAP",34003.799708365,37613.9087706192
"COVID-19 infection",4339,816,2020-11-01,1434037,20769.3385874981,"Male","<=34","SIDIAP",19368.5611457066,22244.651922768
"COVID-19 infection",2164,689,2020-11-01,657168,38267.9923550751,"Female",">=80","SIDIAP",35463.5352040809,41235.2642487604
"COVID-19 infection",963,312,2020-11-01,291659,39045.5977699985,"Male",">=80","SIDIAP",34832.777604811,43627.5166086753
"COVID-19 infection",6285,1817,2020-11-01,1973127,33611.8759714909,"Female","35-49","SIDIAP",32083.9908905979,35193.725389544
"COVID-19 infection",5412,1002,2020-11-01,1804387,20268.9334383367,"Male","35-49","SIDIAP",19033.1968921745,21563.8408229498
"COVID-19 infection",4920,1479,2020-11-01,1538297,35093.0281993659,"Female","50-64","SIDIAP",33327.1236596181,36928.2098603365
