"","New infections","Tested negative, all","SMD"
"N","468,131","1,259,356",""
"Days of follow-up (median [iqr])","358 [254.00, 365.00]","341 [243.00, 365.00]","0.123"
"Age (median [iqr])","43 [30.00, 57.00]","43 [30.00, 57.00]","<0.001"
"Age, categories (%)","","","<0.001"
"   <=34","156,493 (33.4)","420,994 (33.4)",""
"   35-49","138,907 (29.7)","373,685 (29.7)",""
"   50-64","100,162 (21.4)","269,454 (21.4)",""
"   65-79","48,219 (10.3)","129,718 (10.3)",""
"   >=80","24,350 (5.2)","65,506 (5.2)",""
"Sex, female (%)","246,628 (52.7)","697,674 (55.4)","0.055"
"Trimester (%)","","","0.001"
"   Sep-dec 2020","146,894 (31.4)","395,171 (31.4)",""
"   Jan-apr 2021","137,723 (29.4)","370,614 (29.4)",""
"   May-aug 2021","157,331 (33.6)","422,782 (33.6)",""
"   Sep-dec 2021","26,183 (5.6)","70,789 (5.6)",""
"Vaccination status (%)","","","0.160"
"   Non vaccinated","375,166 (80.1)","940,314 (74.7)",""
"   First dose vaccination","39,911 (8.5)","106,948 (8.5)",""
"   Two doses vaccination","52,652 (11.2)","210,021 (16.7)",""
"   Booster doses","402 (0.1)","2,073 (0.2)",""
"PCR test (%)","237,014 (50.6)","637,610 (50.6)","<0.001"
"Asthma (%)","35,650 (7.6)","109,402 (8.7)","0.039"
"Autoimmune disease (%)","8,496 (1.8)","26,600 (2.1)","0.021"
"COPD (%)","12,482 (2.7)","44,338 (3.5)","0.049"
"Dementia (%)","7,351 (1.6)","16,430 (1.3)","0.022"
"Diabetes (%)","40,103 (8.6)","104,923 (8.3)","0.008"
"Heart disease (%)","51,968 (11.1)","152,524 (12.1)","0.032"
"Cancer (%)","30,444 (6.5)","99,365 (7.9)","0.054"
"Hypertension (%)","82,798 (17.7)","227,872 (18.1)","0.011"
"Renal impairment (%)","20,060 (4.3)","56,309 (4.5)","0.009"
"Long Covid symptoms (%)","96,926 (20.7)","269,112 (21.4)","0.016"
"Abdominal pain (%)","16,022 (3.4)","44,346 (3.5)","0.005"
"Allergy (%)","6,354 (1.4)","17,418 (1.4)","0.002"
"Altered smell or taste (%)","726 (0.2)","457 (0.0)","0.038"
"Anxiety (%)","9,499 (2.0)","28,515 (2.3)","0.016"
"Blurred vision (%)","2,292 (0.5)","6,206 (0.5)","<0.001"
"Chest pain (%)","5,884 (1.3)","15,790 (1.3)","<0.001"
"Cognitive dysfunction (%)","1,094 (0.2)","2,787 (0.2)","0.003"
"Cough (%)","6,865 (1.5)","19,867 (1.6)","0.009"
"Depression (%)","4,064 (0.9)","12,880 (1.0)","0.016"
"Dizziness (%)","7,182 (1.5)","20,566 (1.6)","0.008"
"Dyspnea (%)","3,218 (0.7)","7,185 (0.6)","0.015"
"Fatigue or malaise (%)","6,644 (1.4)","17,803 (1.4)","<0.001"
"Gastrointestinal issues (%)","8,584 (1.8)","25,611 (2.0)","0.015"
"Headache (%)","7,892 (1.7)","22,367 (1.8)","0.007"
"Intermittent fever (%)","4,616 (1.0)","15,771 (1.3)","0.025"
"Joint pain (%)","17,441 (3.7)","45,861 (3.6)","0.004"
"Memory issues (%)","939 (0.2)","2,100 (0.2)","0.008"
"Menstrual problems (%)","2,287 (0.5)","5,820 (0.5)","0.004"
"Muscle spasms or pain (%)","562 (0.1)","1,705 (0.1)","0.004"
"Neuralgia (%)","4,408 (0.9)","12,935 (1.0)","0.009"
"Pins sensation (%)","1,779 (0.4)","4,564 (0.4)","0.003"
"Postexertional fatigue = 0 (%)","468,131 (100.0)","1,259,356 (100.0)","<0.001"
"Sleep disorder (%)","5,030 (1.1)","14,316 (1.1)","0.006"
"Tachycardia (%)","1,960 (0.4)","5,172 (0.4)","0.001"
"Tinnitus and hearing problems (%)","2,840 (0.6)","7,762 (0.6)","0.001"
"Number of symptoms (%)","","","0.018"
"   0","371,205 (79.3)","990,244 (78.6)",""
"   1","73,582 (15.7)","203,124 (16.1)",""
"   2","17,491 (3.7)","49,073 (3.9)",""
"   3","4,312 (0.9)","12,547 (1.0)",""
"   4","1,162 (0.2)","3,280 (0.3)",""
"   5","274 (0.1)","830 (0.1)",""
"   6","77 (0.0)","195 (0.0)",""
"   7","24 (0.0)","51 (0.0)",""
"   8","<5","10 (0.0)",""
"   9","<5","<5",""
"   10","<5","<5",""
"Days elapsed since index date and record of symptom (median [iqr])","183 [131.00, 250.50]","178 [129.00, 247.00]","0.041"
