"","First infection","Reinfections","SMD"
"N","39,492","13,253",""
"Days of follow-up (median [iqr])","326 [243.00, 365.00]","306 [234.00, 365.00]","0.086"
"Age (median [iqr])","46 [30.00, 63.00]","46 [30.00, 63.00]","0.001"
"Age, categories (%)","","","<0.001"
"   <=34","12,492 (31.6)","4,192 (31.6)",""
"   35-49","9,619 (24.4)","3,228 (24.4)",""
"   50-64","8,054 (20.4)","2,703 (20.4)",""
"   65-79","4,175 (10.6)","1,401 (10.6)",""
"   >=80","5,152 (13.0)","1,729 (13.0)",""
"Sex, female (%)","23,782 (60.2)","8,083 (61.0)","0.016"
"Trimester (%)","","","0.003"
"   Sep-dec 2020","9,625 (24.4)","3,230 (24.4)",""
"   Jan-apr 2021","11,938 (30.2)","3,995 (30.1)",""
"   May-aug 2021","14,104 (35.7)","4,734 (35.7)",""
"   Sep-dec 2021","3,825 (9.7)","1,294 (9.8)",""
"Vaccination status (%)","","","0.198"
"   Non vaccinated","36,830 (93.3)","12,567 (94.8)",""
"   First dose vaccination","1,086 (2.8)","488 (3.7)",""
"   Two doses vaccination","1,567 (4.0)","155 (1.2)",""
"   Booster doses","9 (0.0)","43 (0.3)",""
"PCR test (%)","26,214 (66.4)","8,797 (66.4)","<0.001"
"Asthma (%)","3,649 (9.2)","1,164 (8.8)","0.016"
"Autoimmune disease (%)","971 (2.5)","370 (2.8)","0.021"
"COPD (%)","1,765 (4.5)","670 (5.1)","0.028"
"Dementia (%)","1,323 (3.3)","790 (6.0)","0.124"
"Diabetes (%)","4,643 (11.8)","1,643 (12.4)","0.020"
"Heart disease (%)","6,752 (17.1)","2,391 (18.0)","0.025"
"Cancer (%)","3,889 (9.8)","1,349 (10.2)","0.011"
"Hypertension (%)","10,110 (25.6)","3,266 (24.6)","0.022"
"Renal impairment (%)","3,275 (8.3)","1,279 (9.7)","0.048"
"Long Covid symptoms (%)","29,852 (75.6)","4,357 (32.9)","0.949"
"Abdominal pain (%)","4,970 (12.6)","760 (5.7)","0.239"
"Allergy (%)","1,939 (4.9)","300 (2.3)","0.143"
"Altered smell or taste (%)","231 (0.6)","22 (0.2)","0.069"
"Anxiety (%)","3,097 (7.8)","478 (3.6)","0.183"
"Blurred vision (%)","728 (1.8)","127 (1.0)","0.075"
"Chest pain (%)","1,871 (4.7)","310 (2.3)","0.130"
"Cognitive dysfunction (%)","433 (1.1)","75 (0.6)","0.058"
"Cough (%)","2,244 (5.7)","372 (2.8)","0.143"
"Depression (%)","1,316 (3.3)","237 (1.8)","0.098"
"Dizziness (%)","2,168 (5.5)","360 (2.7)","0.140"
"Dyspnea (%)","1,264 (3.2)","210 (1.6)","0.106"
"Fatigue or malaise (%)","2,250 (5.7)","344 (2.6)","0.156"
"Gastrointestinal issues (%)","2,850 (7.2)","543 (4.1)","0.135"
"Headache (%)","2,416 (6.1)","381 (2.9)","0.157"
"Intermittent fever (%)","1,406 (3.6)","271 (2.0)","0.092"
"Joint pain (%)","5,305 (13.4)","741 (5.6)","0.270"
"Memory issues (%)","310 (0.8)","59 (0.4)","0.044"
"Menstrual problems (%)","698 (1.8)","107 (0.8)","0.085"
"Muscle spams or pain (%)","200 (0.5)","32 (0.2)","0.043"
"Neuralgia (%)","1,339 (3.4)","223 (1.7)","0.109"
"Pins sensation (%)","543 (1.4)","92 (0.7)","0.067"
"Postexertional fatigue = 0 (%)","39,492 (100.0)","13,253 (100.0)","<0.001"
"Sleep disorder (%)","1,648 (4.2)","270 (2.0)","0.123"
"Tachycardia (%)","687 (1.7)","110 (0.8)","0.081"
"Tinnitus and hearing problems (%)","944 (2.4)","144 (1.1)","0.100"
"Number of symptoms (%)","","","0.959"
"   0","9,640 (24.4)","8,896 (67.1)",""
"   1","21,890 (55.4)","2,895 (21.8)",""
"   2","5,746 (14.6)","951 (7.2)",""
"   3","1,597 (4.0)","347 (2.6)",""
"   4","464 (1.2)","110 (0.8)",""
"   5","114 (0.3)","37 (0.3)",""
"   6","33 (0.1)","14 (0.1)",""
"   7","8 (0.0)","<5",""
"   8","<5","<5",""
"Days elapsed since index date and record of symptom (median [iqr])","135 [77.00, 213.00]","128 [73.00, 209.00]","0.046"
