"","New infections","Tested negative, earliest","SMD"
"N","438,159","1,059,596",""
"Days of follow-up (median [iqr])","365 [256.00, 365.00]","358 [249.00, 365.00]","0.094"
"Age (median [iqr])","45 [32.00, 58.00]","45 [32.00, 58.00]","<0.001"
"Age, categories (%)","","","<0.001"
"   <=34","131,754 (30.1)","318,620 (30.1)",""
"   35-49","134,336 (30.7)","324,864 (30.7)",""
"   50-64","99,763 (22.8)","241,256 (22.8)",""
"   65-79","48,111 (11.0)","116,346 (11.0)",""
"   >=80","24,195 (5.5)","58,511 (5.5)",""
"Sex, female (%)","232,530 (53.1)","555,240 (52.4)","0.013"
"Trimester (%)","","","0.001"
"   Sep-dec 2020","146,798 (33.5)","355,000 (33.5)",""
"   Jan-apr 2021","137,684 (31.4)","333,002 (31.4)",""
"   May-aug 2021","127,496 (29.1)","308,103 (29.1)",""
"   Sep-dec 2021","26,181 (6.0)","63,491 (6.0)",""
"Vaccination status (%)","","","0.076"
"   Non vaccinated","414,429 (94.6)","996,766 (94.1)",""
"   First dose vaccination","9,321 (2.1)","20,204 (1.9)",""
"   Two doses vaccination","14,301 (3.3)","39,305 (3.7)",""
"   Booster doses","108 (0.0)","3,320 (0.3)",""
"PCR test (%)","233,565 (53.3)","564,828 (53.3)","<0.001"
"Asthma (%)","32,924 (7.5)","80,998 (7.6)","0.005"
"Autoimmune disease (%)","8,270 (1.9)","20,417 (1.9)","0.003"
"COPD (%)","12,354 (2.8)","32,735 (3.1)","0.016"
"Dementia (%)","7,253 (1.7)","10,087 (1.0)","0.062"
"Diabetes (%)","39,495 (9.0)","85,455 (8.1)","0.034"
"Heart disease (%)","50,695 (11.6)","120,373 (11.4)","0.007"
"Cancer (%)","29,970 (6.8)","77,454 (7.3)","0.018"
"Hypertension (%)","81,994 (18.7)","193,332 (18.2)","0.012"
"Renal impairment (%)","19,833 (4.5)","44,945 (4.2)","0.014"
"Long Covid symptoms (%)","115,564 (26.4)","254,730 (24.0)","0.054"
"Abdominal pain (%)","19,642 (4.5)","42,372 (4.0)","0.024"
"Allergy (%)","7,945 (1.8)","17,011 (1.6)","0.016"
"Altered smell or taste (%)","810 (0.2)","468 (0.0)","0.042"
"Anxiety (%)","11,861 (2.7)","27,171 (2.6)","0.009"
"Blurred vision (%)","2,923 (0.7)","6,084 (0.6)","0.012"
"Chest pain (%)","7,566 (1.7)","15,475 (1.5)","0.021"
"Cognitive dysfunction (%)","1,454 (0.3)","3,265 (0.3)","0.004"
"Cough (%)","8,628 (2.0)","17,548 (1.7)","0.023"
"Depression (%)","5,058 (1.2)","12,177 (1.1)","<0.001"
"Dizziness (%)","8,879 (2.0)","19,906 (1.9)","0.011"
"Dyspnea (%)","4,729 (1.1)","7,171 (0.7)","0.043"
"Fatigue or malaise (%)","8,689 (2.0)","17,107 (1.6)","0.028"
"Gastrointestinal issues (%)","10,770 (2.5)","25,176 (2.4)","0.005"
"Headache (%)","9,729 (2.2)","20,826 (2.0)","0.018"
"Intermittent fever (%)","5,530 (1.3)","13,915 (1.3)","0.005"
"Joint pain (%)","21,508 (4.9)","46,191 (4.4)","0.026"
"Memory issues (%)","1,233 (0.3)","2,297 (0.2)","0.013"
"Menstrual problems (%)","2,849 (0.7)","5,610 (0.5)","0.016"
"Muscle spams or pain (%)","712 (0.2)","1,814 (0.2)","0.002"
"Neuralgia (%)","5,402 (1.2)","12,719 (1.2)","0.003"
"Pins sensation (%)","2,237 (0.5)","4,632 (0.4)","0.011"
"Postexertional fatigue = 0 (%)","438,159 (100.0)","1,059,596 (100.0)","<0.001"
"Sleep disorder (%)","6,555 (1.5)","14,465 (1.4)","0.011"
"Tachycardia (%)","2,750 (0.6)","5,116 (0.5)","0.019"
"Tinnitus and hearing problems (%)","3,730 (0.9)","8,382 (0.8)","0.007"
"Number of symptoms (%)","","","0.059"
"   0","322,595 (73.6)","804,866 (76.0)",""
"   1","82,919 (18.9)","187,179 (17.7)",""
"   2","23,397 (5.3)","49,496 (4.7)",""
"   3","6,550 (1.5)","13,192 (1.2)",""
"   4","1,955 (0.4)","3,596 (0.3)",""
"   5","524 (0.1)","942 (0.1)",""
"   6","166 (0.0)","243 (0.0)",""
"   7","42 (0.0)","70 (0.0)",""
"   8","5 (0.0)","10 (0.0)",""
"   9","<5","<5",""
"   10","<5","<5",""
"Days elapsed since index date and record of symptom (median [iqr])","141 [80.00, 223.00]","143 [82.00, 224.00]","0.014"
