"","First infection","Tested negative, earliest","SMD"
"N","426,690","1,036,934",""
"Days of follow-up (median [iqr])","365 [256.00, 365.00]","358 [249.00, 365.00]","0.098"
"Age (median [iqr])","44 [31.00, 58.00]","44 [32.00, 58.00]","0.001"
"Age, categories (%)","","","<0.001"
"   <=34","129,016 (30.2)","313,532 (30.2)",""
"   35-49","131,314 (30.8)","319,117 (30.8)",""
"   50-64","97,096 (22.8)","235,961 (22.8)",""
"   65-79","46,739 (11.0)","113,584 (11.0)",""
"   >=80","22,525 (5.3)","54,740 (5.3)",""
"Sex, female (%)","225,299 (52.8)","543,159 (52.4)","0.008"
"Trimester (%)","","","0.001"
"   Sep-dec 2020","143,626 (33.7)","349,037 (33.7)",""
"   Jan-apr 2021","133,708 (31.3)","324,962 (31.3)",""
"   May-aug 2021","124,473 (29.2)","302,277 (29.2)",""
"   Sep-dec 2021","24,883 (5.8)","60,658 (5.8)",""
"Vaccination status (%)","","","0.077"
"   Non vaccinated","403,482 (94.6)","975,657 (94.1)",""
"   First dose vaccination","8,928 (2.1)","19,782 (1.9)",""
"   Two doses vaccination","14,215 (3.3)","38,259 (3.7)",""
"   Booster doses","65 (0.0)","3,237 (0.3)",""
"PCR test (%)","225,464 (52.8)","547,918 (52.8)","<0.001"
"Asthma (%)","31,923 (7.5)","79,375 (7.7)","0.007"
"Autoimmune disease (%)","7,917 (1.9)","19,845 (1.9)","0.004"
"COPD (%)","11,702 (2.7)","31,649 (3.1)","0.018"
"Dementia (%)","6,489 (1.5)","9,553 (0.9)","0.055"
"Diabetes (%)","37,904 (8.9)","82,892 (8.0)","0.032"
"Heart disease (%)","48,381 (11.3)","116,281 (11.2)","0.004"
"Cancer (%)","28,676 (6.7)","74,915 (7.2)","0.020"
"Hypertension (%)","78,817 (18.5)","187,218 (18.1)","0.011"
"Renal impairment (%)","18,592 (4.4)","42,891 (4.1)","0.011"
"Long Covid symptoms (%)","90,858 (21.3)","202,080 (19.5)","0.045"
"Abdominal pain (%)","15,035 (3.5)","32,250 (3.1)","0.023"
"Allergy (%)","5,983 (1.4)","12,990 (1.3)","0.013"
"Altered smell or taste (%)","675 (0.2)","335 (0.0)","0.041"
"Anxiety (%)","8,844 (2.1)","20,589 (2.0)","0.006"
"Blurred vision (%)","2,168 (0.5)","4,632 (0.4)","0.009"
"Chest pain (%)","5,513 (1.3)","11,711 (1.1)","0.015"
"Cognitive dysfunction (%)","1,035 (0.2)","2,391 (0.2)","0.002"
"Cough (%)","6,353 (1.5)","13,781 (1.3)","0.014"
"Depression (%)","3,812 (0.9)","9,335 (0.9)","0.001"
"Dizziness (%)","6,768 (1.6)","15,239 (1.5)","0.009"
"Dyspnea (%)","3,026 (0.7)","5,307 (0.5)","0.025"
"Fatigue or malaise (%)","6,187 (1.4)","13,081 (1.3)","0.016"
"Gastrointestinal issues (%)","7,982 (1.9)","18,638 (1.8)","0.005"
"Headache (%)","7,343 (1.7)","15,879 (1.5)","0.015"
"Intermittent fever (%)","4,215 (1.0)","10,404 (1.0)","0.002"
"Joint pain (%)","16,532 (3.9)","35,525 (3.4)","0.024"
"Memory issues (%)","894 (0.2)","1,799 (0.2)","0.008"
"Menstrual problems (%)","2,146 (0.5)","4,235 (0.4)","0.014"
"Muscle spams or pain (%)","534 (0.1)","1,401 (0.1)","0.003"
"Neuralgia (%)","4,186 (1.0)","9,683 (0.9)","0.005"
"Pins sensation (%)","1,677 (0.4)","3,621 (0.3)","0.007"
"Postexertional fatigue = 0 (%)","426,690 (100.0)","1,036,934 (100.0)","<0.001"
"Sleep disorder (%)","4,748 (1.1)","10,820 (1.0)","0.007"
"Tachycardia (%)","1,831 (0.4)","3,798 (0.4)","0.010"
"Tinnitus and hearing problems (%)","2,701 (0.6)","6,340 (0.6)","0.003"
"Number of symptoms (%)","","","0.047"
"   0","335,832 (78.7)","834,854 (80.5)",""
"   1","68,931 (16.2)","155,425 (15.0)",""
"   2","16,443 (3.9)","35,320 (3.4)",""
"   3","4,041 (0.9)","8,505 (0.8)",""
"   4","1,095 (0.3)","2,157 (0.2)",""
"   5","254 (0.1)","517 (0.0)",""
"   6","66 (0.0)","113 (0.0)",""
"   7","24 (0.0)","33 (0.0)",""
"   8","<5","7 (0.0)",""
"   9","<5","<5",""
"   10","<5","<5",""
"Days elapsed since index date and record of symptom (median [iqr])","185 [132.00, 252.00]","184 [132.00, 253.00]","0.001"
